State,City,Year,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ALABAMA,BIRMINGHAM,2017,,1829,42,92,472,1223,6458,1292,4350,816,87
ALABAMA,MOBILE,2017,,925,20,53,235,617,6482,1507,4344,631,51
ALABAMA,MONTGOMERY,2017,,656,19,35,185,417,4246,1031,2797,418,41
ALASKA,ANCHORAGE,2017,,1707,13,196,369,1129,7708,1089,5180,1439,31
ARIZONA,CHANDLER,2017,,303,1,67,72,163,2906,401,2298,207,10
ARIZONA,GLENDALE,2017,,598,7,36,247,308,5654,848,4198,608,18
ARIZONA,MESA,2017,,1000,11,127,221,641,5472,962,4069,441,9
ARIZONA,SCOTTSDALE,2017,,193,2,47,55,89,2684,437,2115,132,9
ARIZONA,SURPRISE,2017,,57,1,5,21,30,1300,124,1100,76,2
ARIZONA,TEMPE,2017,,463,3,74,120,266,3812,502,3083,227,12
ARKANSAS,LITTLE ROCK,2017,,1737,28,92,257,1360,6891,1252,5038,601,29
CALIFORNIA,ANAHEIM,2017,,601,6,63,218,314,4629,652,3190,787,16
CALIFORNIA,ANTIOCH,2017,,306,4,22,127,153,1873,301,1037,535,30
CALIFORNIA,BAKERSFIELD,2017,,929,22,48,365,494,7570,1643,4621,1306,127
CALIFORNIA,BERKELEY,2017,,322,1,39,180,102,2813,382,2140,291,6
CALIFORNIA,BURBANK,2017,,113,0,7,40,66,1483,158,1187,138,11
CALIFORNIA,CARLSBAD,2017,,106,0,16,17,73,1014,204,745,65,7
CALIFORNIA,CHULA VISTA,2017,,370,0,29,135,206,1884,310,1232,342,13
CALIFORNIA,CLOVIS,2017,,144,0,23,36,85,1516,245,1177,94,3
CALIFORNIA,CONCORD,2017,,221,2,21,85,113,2130,203,1499,428,14
CALIFORNIA,CORONA,2017,,108,0,23,43,42,1807,308,1213,286,9
CALIFORNIA,COSTA MESA,2017,,167,2,27,69,69,2321,342,1681,298,5
CALIFORNIA,DALY CITY,2017,,144,0,30,58,56,829,104,629,96,4
CALIFORNIA,DOWNEY,2017,,183,1,13,84,85,1651,272,962,417,2
CALIFORNIA,EL CAJON,2017,,189,0,24,62,103,1207,231,757,219,6
CALIFORNIA,ELK GROVE,2017,,273,0,18,47,208,1179,208,862,109,0
CALIFORNIA,EL MONTE,2017,,239,4,23,95,117,1396,361,677,358,4
CALIFORNIA,ESCONDIDO,2017,,252,3,21,68,160,1269,215,877,177,9
CALIFORNIA,FAIRFIELD,2017,,283,5,18,99,161,1433,230,975,228,11
CALIFORNIA,FONTANA,2017,,321,4,33,81,203,1840,295,1089,456,6
CALIFORNIA,FREMONT,2017,,202,0,30,88,84,2729,350,1870,509,8
CALIFORNIA,FRESNO,2017,,1513,33,90,502,888,10256,1860,6908,1488,112
CALIFORNIA,FULLERTON,2017,,133,0,31,41,61,1984,154,1620,210,20
CALIFORNIA,GARDEN GROVE,2017,,304,2,6,112,184,2209,427,1458,324,11
CALIFORNIA,GLENDALE,2017,,155,1,13,72,69,1553,246,1150,157,5
CALIFORNIA,HAYWARD,2017,,260,2,34,125,99,2523,247,1355,921,13
CALIFORNIA,HUNTINGTON BEACH,2017,,205,0,22,33,150,2133,335,1565,233,9
CALIFORNIA,INGLEWOOD,2017,,409,4,22,204,179,1364,242,685,437,10
CALIFORNIA,IRVINE,2017,,86,2,23,28,33,1802,327,1373,102,4
CALIFORNIA,JURUPA VALLEY,2017,,138,3,10,36,89,1352,155,858,339,3
CALIFORNIA,LANCASTER,2017,,527,7,29,143,348,1561,438,794,329,17
CALIFORNIA,LONG BEACH,2017,,1551,11,93,618,829,6280,1442,3416,1422,59
CALIFORNIA,LOS ANGELES,2017,,14440,138,1212,5165,7925,50122,8252,32363,9507,651
CALIFORNIA,MODESTO,2017,,1009,13,54,253,689,4279,664,2897,718,36
CALIFORNIA,MORENO VALLEY,2017,,372,6,15,166,185,3303,580,2132,591,8
CALIFORNIA,MURRIETA,2017,,40,1,11,15,13,837,140,608,89,4
CALIFORNIA,NORWALK,2017,,202,2,9,65,126,990,221,532,237,5
CALIFORNIA,OAKLAND,2017,,2782,33,185,1365,1199,13023,1431,8584,3008,70
CALIFORNIA,OCEANSIDE,2017,,335,4,36,82,213,2100,317,1568,215,16
CALIFORNIA,ONTARIO,2017,,309,3,59,96,151,2218,344,1431,443,10
CALIFORNIA,ORANGE,2017,,123,1,6,37,79,1292,216,873,203,9
CALIFORNIA,OXNARD,2017,,465,10,35,223,197,2695,412,1897,386,24
CALIFORNIA,PALMDALE,2017,,342,2,22,126,192,1278,270,801,207,12
CALIFORNIA,PASADENA,2017,,284,4,19,120,141,1555,390,960,205,14
CALIFORNIA,POMONA,2017,,422,10,48,180,184,2222,349,1299,574,13
CALIFORNIA,RANCHO CUCAMONGA,2017,,148,0,24,50,74,2004,446,1378,180,1
CALIFORNIA,RIALTO,2017,,188,2,9,75,102,842,229,314,299,2
CALIFORNIA,RICHMOND,2017,,516,7,25,218,266,2134,402,1105,627,23
CALIFORNIA,RIVERSIDE,2017,,792,6,78,253,455,5269,926,3431,912,38
CALIFORNIA,ROSEVILLE,2017,,109,0,11,40,58,1706,180,1369,157,8
CALIFORNIA,SACRAMENTO,2017,,1678,21,53,541,1063,7312,1495,4519,1298,98
CALIFORNIA,SALINAS,2017,,508,18,39,172,279,2347,439,1187,721,9
CALIFORNIA,SAN BERNARDINO,2017,,1437,21,80,398,938,3972,1044,1816,1112,31
CALIFORNIA,SAN DIEGO,2017,,2515,17,265,694,1539,13173,2032,8552,2589,81
CALIFORNIA,SAN FRANCISCO,2017,,3069,34,187,1599,1249,27654,2568,22449,2637,151
CALIFORNIA,SAN JOSE,2017,,1916,15,299,604,998,12528,1973,6463,4092,84
CALIFORNIA,SAN MATEO,2017,,122,0,9,26,87,1004,299,614,91,2
CALIFORNIA,SANTA ANA,2017,,787,10,85,304,388,3769,459,2176,1134,30
CALIFORNIA,SANTA CLARA,2017,,88,0,17,22,49,1538,161,1181,196,4
CALIFORNIA,SANTA CLARITA,2017,,173,2,19,59,93,1637,343,1080,214,6
CALIFORNIA,SANTA MARIA,2017,,224,0,25,72,127,1218,218,629,371,4
CALIFORNIA,SANTA ROSA,2017,,375,4,58,60,253,1567,253,1119,195,8
CALIFORNIA,SIMI VALLEY,2017,,81,0,9,16,56,917,161,678,78,2
CALIFORNIA,STOCKTON,2017,,2120,19,69,578,1454,5765,1146,3548,1071,70
CALIFORNIA,SUNNYVALE,2017,,81,1,14,27,39,1252,247,865,140,8
CALIFORNIA,TEMECULA,2017,,56,0,2,18,36,1436,204,1083,149,0
CALIFORNIA,THOUSAND OAKS,2017,,75,0,24,11,40,837,137,626,74,6
CALIFORNIA,TORRANCE,2017,,145,0,17,56,72,1544,300,999,245,8
CALIFORNIA,VALLEJO,2017,,540,9,46,187,298,2369,1256,603,510,20
CALIFORNIA,VENTURA,2017,,231,1,31,56,143,1822,297,1332,193,10
CALIFORNIA,VICTORVILLE,2017,,412,8,29,126,249,1525,401,791,333,26
CALIFORNIA,VISALIA,2017,,258,6,49,79,124,2134,470,1347,317,4
CALIFORNIA,VISTA,2017,,189,4,22,54,109,746,159,460,127,7
CALIFORNIA,WEST COVINA,2017,,150,0,20,75,55,1266,259,811,196,6
COLORADO,AURORA,2017,,993,8,116,342,527,5274,800,3534,940,30
COLORADO,CENTENNIAL,2017,,84,3,12,9,60,908,152,673,83,6
COLORADO,COLORADO SPRINGS,2017,,1280,15,270,221,774,7085,1132,4985,968,58
COLORADO,DENVER,2017,,2374,26,296,541,1511,11891,2007,7565,2319,60
COLORADO,FORT COLLINS,2017,,176,1,13,17,145,2119,239,1772,108,6
COLORADO,GREELEY,2017,,191,1,27,23,140,1258,195,922,141,13
COLORADO,LAKEWOOD,2017,,473,3,67,104,299,3730,434,2750,546,10
COLORADO,PUEBLO,2017,,538,1,102,94,341,3243,607,2108,528,24
CONNECTICUT,BRIDGEPORT,2017,,599,12,27,265,295,1657,287,1017,353,8
CONNECTICUT,HARTFORD,2017,,611,13,27,190,381,2296,341,1638,317,38
CONNECTICUT,STAMFORD,2017,,125,0,5,40,80,935,99,730,106,3
CONNECTICUT,WATERBURY,2017,,239,2,23,123,91,1864,278,1193,393,6
DISTRICT OF COLUMBIA,WASHINGTON,2017,,3075,55,227,1102,1691,14370,928,12230,1212,62
FLORIDA,CAPE CORAL,2017,,118,3,8,12,95,1488,290,1126,72,1
FLORIDA,CLEARWATER,2017,,293,2,42,71,178,1848,249,1476,123,11
FLORIDA,CORAL SPRINGS,2017,,125,0,27,35,63,1287,112,1064,111,2
FLORIDA,DAVIE,2017,,124,1,13,44,66,1347,145,1094,108,9
FLORIDA,FORT LAUDERDALE,2017,,523,4,37,214,268,5246,821,3978,447,8
FLORIDA,GAINESVILLE,2017,,472,2,81,94,295,2225,229,1854,142,3
FLORIDA,HIALEAH,2017,,232,2,15,77,138,2673,283,2042,348,16
FLORIDA,HOLLYWOOD,2017,,216,3,13,90,110,2391,393,1754,244,4
FLORIDA,JACKSONVILLE,2017,,2696,52,257,670,1717,15489,2832,11251,1406,52
FLORIDA,LAKELAND,2017,,154,1,35,39,79,1917,268,1540,109,0
FLORIDA,MIAMI,2017,,1665,26,41,510,1088,9265,1187,7044,1034,33
FLORIDA,MIAMI GARDENS,2017,,448,11,8,108,321,1727,214,1314,199,6
FLORIDA,MIRAMAR,2017,,225,2,14,51,158,1103,167,817,119,2
FLORIDA,ORLANDO5,2017,,1000,13,85,279,623,7906,1272,5904,730,13
FLORIDA,PALM BAY,2017,,279,5,23,29,222,1024,221,723,80,5
FLORIDA,PEMBROKE PINES,2017,,179,0,15,46,118,1891,189,1529,173,4
FLORIDA,POMPANO BEACH,2017,,497,8,32,220,237,2712,388,1888,436,5
FLORIDA,PORT ST. LUCIE,2017,,86,0,8,14,64,1089,178,867,44,1
FLORIDA,ST. PETERSBURG,2017,,955,12,62,243,638,6277,940,4814,523,59
FLORIDA,TALLAHASSEE,2017,,891,6,103,203,579,4637,762,3507,368,5
FLORIDA,TAMPA,2017,,904,20,53,198,633,3123,590,2267,266,24
FLORIDA,WEST PALM BEACH,2017,,515,15,38,163,299,2895,451,2160,284,12
GEORGIA,ATHENS-CLARKE COUNTY,2017,,255,2,30,55,168,1834,335,1396,103,7
GEORGIA,ATLANTA,2017,,2165,37,130,669,1329,10383,1602,7291,1490,42
GEORGIA,COLUMBUS,2017,,606,9,38,207,352,4103,999,2776,328,19
GEORGIA,SANDY SPRINGS,2017,,53,0,8,26,19,1086,194,817,75,2
GEORGIA,SAVANNAH-CHATHAM METROPOLITAN,2017,,544,23,55,182,284,4179,626,3083,470,10
HAWAII,HONOLULU,2017,,1207,15,156,443,593,13263,1571,10043,1649,170
ILLINOIS,AURORA,2017,,259,4,30,48,177,1195,185,923,87,10
ILLINOIS,CHICAGO,2017,,14007,328,808,5385,7486,41298,6262,29423,5613,262
ILLINOIS,ELGIN,2017,,117,0,16,25,76,720,101,581,38,2
ILLINOIS,JOLIET,2017,,281,5,33,75,168,1227,230,933,64,43
ILLINOIS,NAPERVILLE,2017,,65,1,14,15,35,732,60,652,20,6
ILLINOIS,PEORIA,2017,,429,6,31,140,252,2171,518,1536,117,18
ILLINOIS,ROCKFORD,2017,,1149,9,52,208,880,2397,640,1564,193,12
ILLINOIS,SPRINGFIELD,2017,,643,5,42,116,480,2396,550,1696,150,20
INDIANA,EVANSVILLE,2017,,451,4,30,86,331,2899,425,2268,206,16
INDIANA,FORT WAYNE,2017,,462,12,57,151,242,4191,611,3343,237,40
INDIANA,SOUTH BEND,2017,,468,9,47,163,249,2492,629,1630,233,24
KANSAS,OLATHE,2017,,129,1,44,18,66,931,74,792,65,2
KANSAS,OVERLAND PARK,2017,,199,3,50,32,114,1475,160,1185,130,2
KANSAS,TOPEKA,2017,,371,15,25,112,219,3124,467,2280,377,5
KENTUCKY,LEXINGTON,2017,,544,9,91,281,163,5884,1113,4150,621,22
KENTUCKY,LOUISVILLE METRO7,2017,,2170,73,73,655,1369,13473,2793,8796,1884,2
LOUISIANA,BATON ROUGE,2017,,1205,33,47,448,677,6120,1308,4317,495,79
LOUISIANA,LAFAYETTE,2017,,357,9,8,94,246,3116,523,2431,162,14
LOUISIANA,NEW ORLEANS,2017,,2229,96,263,681,1189,8539,1178,6094,1267,22
MARYLAND,BALTIMORE,2017,,6095,170,176,2780,2969,14462,3808,8033,2621,149
MASSACHUSETTS,CAMBRIDGE,2017,,148,0,9,38,101,906,136,727,43,1
MASSACHUSETTS,LOWELL,2017,,136,1,3,64,68,1132,221,683,228,5
MASSACHUSETTS,SPRINGFIELD,2017,,621,8,40,167,406,2189,582,1401,206,25
MASSACHUSETTS,WORCESTER,2017,,677,2,17,143,515,1873,400,1274,199,2
MICHIGAN,ANN ARBOR,2017,,126,0,26,29,71,873,110,715,48,2
MICHIGAN,CLINTON TOWNSHIP,2017,,176,2,26,20,128,741,143,521,77,5
MICHIGAN,GRAND RAPIDS,2017,,661,7,62,158,434,1762,334,1275,153,28
MICHIGAN,LANSING,2017,,601,8,44,106,443,1543,388,990,165,17
MICHIGAN,STERLING HEIGHTS,2017,,125,1,20,7,97,705,76,573,56,3
MICHIGAN,WARREN,2017,,339,4,47,52,236,1389,306,857,226,13
MINNESOTA,MINNEAPOLIS,2017,,2237,16,259,870,1092,9169,1707,6330,1132,50
MINNESOTA,ROCHESTER,2017,,80,0,18,11,51,944,149,759,36,1
MINNESOTA,ST. PAUL,2017,,1020,14,112,352,542,5238,1167,3141,930,72
MISSISSIPPI,JACKSON,2017,,1125,29,95,306,278,3492,878,2269,345,30
MISSOURI,COLUMBIA,2017,,370,4,60,61,245,1617,238,1262,117,6
MISSOURI,INDEPENDENCE,2017,,345,3,17,80,245,3124,342,2212,570,0
MISSOURI,KANSAS CITY,2017,,4111,66,195,890,2960,10101,2164,5963,1974,107
MISSOURI,SPRINGFIELD,2017,,1096,6,179,178,733,7522,1152,5386,984,47
MISSOURI,ST. LOUIS,2017,,2878,92,126,770,1890,8689,1443,6031,1215,91
MONTANA,BILLINGS,2017,,277,0,40,39,198,2824,338,2092,394,9
NEBRASKA,LINCOLN,2017,,486,0,111,91,284,3724,537,3049,138,22
NEBRASKA,OMAHA,2017,,1403,15,196,260,932,8348,1015,5796,1537,55
NEVADA,LAS VEGAS,2017,,4906,70,629,1660,2547,22888,6269,12692,3927,62
NEVADA,RENO,2017,,798,9,61,176,552,3528,666,2154,708,7
NEW HAMPSHIRE,MANCHESTER,2017,,347,1,44,83,219,1425,218,1111,96,12
NEW JERSEY,EDISON TOWNSHIP,2017,,59,0,3,28,28,608,97,454,57,4
NEW JERSEY,ELIZABETH,2017,,480,2,19,235,224,2030,308,1330,392,5
NEW JERSEY,LAKEWOOD TOWNSHIP,2017,,51,1,1,20,29,426,114,293,19,2
NEW JERSEY,NEWARK,2017,,1205,31,51,495,628,3020,570,1414,1036,29
NEW JERSEY,PATERSON,2017,,484,14,18,228,224,1750,550,828,372,8
NEW JERSEY,WOODBRIDGE TOWNSHIP,2017,,48,1,4,27,16,727,111,567,49,1
NEW MEXICO,LAS CRUCES8,2017,,62,6,12,36,51,2279,439,1703,137,3
NEW YORK,AMHERST TOWN,2017,,63,0,5,23,35,915,70,826,19,2
NEW YORK,BUFFALO,2017,,1209,25,72,412,700,4435,987,3102,346,90
NEW YORK,NEW YORK,2017,,22369,127,1126,6607,14509,57559,5298,49712,2549,970
NEW YORK,ROCHESTER,2017,,899,8,64,350,477,3740,617,2812,311,49
NEW YORK,SYRACUSE,2017,,499,9,52,141,297,2129,498,1464,167,28
NEW YORK,YONKERS,2017,,405,4,17,118,266,940,168,688,84,8
NORTH DAKOTA,FARGO,2017,,213,1,46,29,137,1797,214,1440,143,5
OHIO,AKRON,2017,,622,23,107,193,299,3879,1050,2455,374,66
OHIO,CINCINNATI,2017,,1321,32,133,596,560,7244,1780,4759,705,195
OHIO,CLEVELAND,2017,,2672,46,217,1331,1078,8945,2881,4396,1668,140
OHIO,COLUMBUS,2017,,2053,57,382,906,708,16137,3407,10903,1827,176
OHIO,DAYTON,2017,,571,14,74,188,295,2845,837,1737,271,22
OHIO,TOLEDO,2017,,1632,17,85,374,1156,5216,1451,3398,367,29
OKLAHOMA,BROKEN ARROW,2017,,67,0,12,18,37,1225,201,892,132,0
OKLAHOMA,NORMAN,2017,,166,4,38,23,101,1620,272,1227,121,1
OKLAHOMA,OKLAHOMA CITY,2017,,2438,33,242,512,1651,11953,2993,7631,1329,45
OKLAHOMA,TULSA,2017,,2065,37,193,476,1359,11061,2674,6596,1791,72
OREGON,EUGENE,2017,,320,2,52,82,184,3055,589,2222,244,23
OREGON,GRESHAM,2017,,197,4,36,45,112,1911,226,1115,570,9
OREGON,PORTLAND,2017,,1575,9,203,499,864,18050,2145,12331,3574,131
OREGON,SALEM,2017,,272,4,13,66,189,3684,429,2789,466,16
PENNSYLVANIA,ALLENTOWN,2017,,295,5,38,132,120,1509,286,1094,129,7
PENNSYLVANIA,PHILADELPHIA,2017,,7357,156,585,2878,3738,22766,3130,17141,2495,211
RHODE ISLAND,PROVIDENCE,2017,,436,3,55,128,250,2830,445,1940,376,9
SOUTH CAROLINA,CHARLESTON,2017,,185,1,30,46,108,1464,213,1142,109,8
SOUTH CAROLINA,COLUMBIA,2017,,337,5,35,114,183,2784,382,2106,296,9
SOUTH CAROLINA,NORTH CHARLESTON,2017,,476,19,33,145,279,2854,377,2176,301,9
SOUTH DAKOTA,SIOUX FALLS,2017,,393,3,58,55,277,2325,332,1768,225,24
TENNESSEE,CHATTANOOGA,2017,,947,13,67,161,706,4936,710,3631,595,5
TENNESSEE,CLARKSVILLE,2017,,493,4,43,57,389,2059,361,1598,100,5
TENNESSEE,KNOXVILLE,2017,,861,17,66,197,581,5014,799,3717,498,7
TENNESSEE,MEMPHIS,2017,,6391,87,271,1556,4477,18888,4528,12520,1840,188
TENNESSEE,MURFREESBORO,2017,,387,3,33,66,285,2062,238,1735,89,2
TENNESSEE,NASHVILLE,2017,,3754,54,219,1002,2479,12181,1979,8896,1306,36
UTAH,SALT LAKE CITY,2017,,816,1,130,262,423,7714,918,5908,888,7
UTAH,WEST JORDAN,2017,,121,1,13,23,84,1727,155,1366,206,3
UTAH,WEST VALLEY,2017,,401,5,91,82,223,2963,463,1860,640,10
VIRGINIA,CHESAPEAKE,2017,,453,7,43,94,309,2580,318,2151,111,8
VIRGINIA,HAMPTON,2017,,188,5,12,77,94,2007,260,1629,118,13
VIRGINIA,NEWPORT NEWS ,2017,,421,8,42,114,257,2517,408,1889,220,20
VIRGINIA,NORFOLK,2017,,640,17,52,178,393,4139,544,3348,247,5
VIRGINIA,VIRGINIA BEACH,2017,,343,10,58,142,133,4173,407,3569,197,28
WASHINGTON,BELLEVUE,2017,,74,0,12,28,34,2207,313,1747,147,8
WASHINGTON,EVERETT,2017,,265,2,26,74,163,2326,433,1455,438,7
WASHINGTON,KENT,2017,,226,3,35,84,104,3377,409,2327,641,10
WASHINGTON,RENTON,2017,,169,3,16,56,94,2614,325,1895,394,6
WASHINGTON,SEATTLE,2017,,2183,9,142,745,1287,18576,3811,13112,1653,79
WASHINGTON,TACOMA,2017,,760,4,69,183,504,5882,1048,3758,1076,32
WASHINGTON,VANCOUVER,2017,,304,6,68,61,169,2640,364,1757,519,24
WISCONSIN,GREEN BAY,2017,,201,0,33,26,142,902,138,733,31,7
WISCONSIN,KENOSHA,2017,,176,4,28,51,93,891,165,680,46,3
WISCONSIN,MADISON,2017,,483,16,37,108,322,3229,434,2637,158,4
WISCONSIN,MILWAUKEE,2017,,4539,55,232,1334,2918,10595,2696,5400,2499,135